kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,1,1,2500000.0,0,0.1,0.1,0.0610848,-0.0075309
0,1,1,2500000.0,0,0.1,0.1,0.0412299,0.0044557
0,1,1,2500000.0,2500000.0,0,0,0.0473945,-0.0081445
0,1,1,2500000.0,2500000.0,0,0,0.0478625,0.0043199
0,1,1,2500000.0,2500000.0,0,0.1,0.0498152,-0.0084372
0,1,1,2500000.0,2500000.0,0,0.1,0.0480807,0.0016398
0,1,1,2500000.0,2500000.0,0.1,0,0.0470723,-0.0077765
0,1,1,2500000.0,2500000.0,0.1,0,0.0508873,0.0012492
0,1,1,2500000.0,2500000.0,0.1,0.1,0.0513285,-0.0069694
0,1,1,2500000.0,2500000.0,0.1,0.1,0.0531422,-0.0002444
0,1,2,0,0,0,0,0.147975,0.0004636
0,1,2,0,0,0,0,0.1419903,0.0006262
0,1,2,0,0,0,0.1,0.1550551,0.0005779
0,1,2,0,0,0,0.1,0.1321431,0.0006072
0,1,2,0,0,0.1,0,0.1373252,0.0002533
0,1,2,0,0,0.1,0,0.1485567,0.0005257
0,1,2,0,0,0.1,0.1,0.1437198,0.0003814
0,1,2,0,0,0.1,0.1,0.1380869,0.0004978
0,1,2,0,2500000.0,0,0,0.1606702,0.0008793
0,1,2,0,2500000.0,0,0,0.1188872,0.0005279
0,1,2,0,2500000.0,0,0.1,0.1694135,0.0009988
0,1,2,0,2500000.0,0,0.1,0.1109491,0.0005274
0,1,2,0,2500000.0,0.1,0,0.1485801,0.000674
0,1,2,0,2500000.0,0.1,0,0.1240271,0.0004575
0,1,2,0,2500000.0,0.1,0.1,0.1563887,0.0007996
0,1,2,0,2500000.0,0.1,0.1,0.1156417,0.0004434
0,1,2,2500000.0,0,0,0,0.123622,0.0006256
0,1,2,2500000.0,0,0,0,0.1540242,-9.84e-05
0,1,2,2500000.0,0,0,0.1,0.1293182,0.0007155
0,1,2,2500000.0,0,0,0.1,0.1427932,-6.14e-05
0,1,2,2500000.0,0,0.1,0,0.1149953,0.0004119
0,1,2,2500000.0,0,0.1,0,0.162568,-0.0001041
0,1,2,2500000.0,0,0.1,0.1,0.1201837,0.0005131
0,1,2,2500000.0,0,0.1,0.1,0.1504269,-7.92e-05
0,1,2,2500000.0,2500000.0,0,0,0.1355447,0.0009855
0,1,2,2500000.0,2500000.0,0,0,0.1299859,-0.0001347
0,1,2,2500000.0,2500000.0,0,0.1,0.1428649,0.0010791
